,Players,Values
0,Fabian Bredlow,1000000.0
1,Christian Mathenia,1000000.0
2,Patric Klandt,100000.0
3,Lukas Mühl,2500000.0
4,Ewerton,2000000.0
5,Georg Margreitter,2000000.0
6,Lukas Jäger,400000.0
7,Tim Leibold,3500000.0
8,Dennis Lippert,300000.0
9,Robert Bauer,2500000.0
10,Enrico Valentini,1500000.0
11,Kevin Goden,300000.0
12,Eduard Löwen,5500000.0
13,Ondrej Petrak,1750000.0
14,Patrick Erras,1250000.0
15,Hanno Behrens,3000000.0
16,Alexander Fuchs,750000.0
17,Timothy Tillman,100000.0
18,Virgil Misidjan,5000000.0
19,Sebastian Kerk,750000.0
20,Matheus Pereira,3000000.0
21,Edgar Salli,650000.0
22,Yuya Kubo,4500000.0
23,Mikael Ishak,4000000.0
24,Adam Zrelak,900000.0
25,Törles Knöll,800000.0
26,Federico Palacios,800000.0
