,Players,Values
0,Loris Karius,5000000.0
1,Gianluca Curci,1000000.0
2,Robin Zentner,250000.0
3,Jannik Huth,150000.0
4,Daniel Zeaiter,50000.0
5,Stefan Bell,3500000.0
6,Niko Bungert,2500000.0
7,Gonzalo Jara,1750000.0
8,Henrique Sereno,1000000.0
9,Leon Balogun,500000.0
10,Alexander Hack,275000.0
11,Ju-ho Park,2500000.0
12,Gaëtan Bussmann,2000000.0
13,Pierre Bengtsson,1500000.0
14,Giulio Donati,3000000.0
15,Daniel Brosinski,2500000.0
16,Fabian Frei,5000000.0
17,Julian Baumgartlinger,4000000.0
18,Niki Zimling,2000000.0
19,Christoph Moritz,2500000.0
20,Danny Latza,900000.0
21,Elkin Soto,500000.0
22,Suat Serdar,
23,Ja-cheol Koo,4500000.0
24,Yunus Malli,3000000.0
25,Patrick Pflücke,800000.0
26,Philipp Klement,100000.0
27,Jairo Samperio,2750000.0
28,Pablo de Blasis,2000000.0
29,Todor Nedelev,1000000.0
30,Karim Onisiwo,500000.0
31,Julian-Maurice Derstroff,175000.0
32,Maximilian Beister,2500000.0
33,Christian Clemens,2000000.0
34,Devante Parker,800000.0
35,Jhon Córdoba,2500000.0
36,Yoshinori Muto,1250000.0
37,Florian Niederlechner,900000.0
38,Emil Berggreen,400000.0
