,Players,Values
0,Timo Horn,7000000.0
1,Thomas Kessler,350000.0
2,Jan-Christoph Bartels,100000.0
3,Brady Scott,100000.0
4,Jorge Meré,7000000.0
5,Frederik Sörensen,2500000.0
6,Lasse Sobiech,2000000.0
7,Rafael Czichos,1500000.0
8,Yann Aurel Bisseck,250000.0
9,Jonas Hector,15000000.0
10,Jannes Horn,3000000.0
11,Benno Schmitz,800000.0
12,Matthias Bader,500000.0
13,Matthias Lehmann,500000.0
14,Vincent Koziello,4000000.0
15,Salih Özcan,3500000.0
16,Marco Höger,2000000.0
17,Niklas Hauptmann,1500000.0
18,Nikolas Nartey,300000.0
19,Chris Führich,150000.0
20,Louis Schaub,4000000.0
21,Dominick Drexler,4000000.0
22,Marcel Risse,2000000.0
23,Christian Clemens,1750000.0
24,Jhon Córdoba,4000000.0
25,Simon Terodde,3000000.0
26,Serhou Guirassy,2500000.0
27,Simon Zoller,1500000.0
