,Players,Values
0,Bernd Leno,22000000.0
1,Petr Cech,3000000.0
2,Emiliano Martínez,1000000.0
3,Shkodran Mustafi,25000000.0
4,Sokratis,20000000.0
5,Laurent Koscielny,15000000.0
6,Rob Holding,7000000.0
7,Konstantinos Mavropanos,3000000.0
8,Sead Kolasinac,18000000.0
9,Nacho Monreal,13000000.0
10,Héctor Bellerín,40000000.0
11,Carl Jenkinson,3500000.0
12,Stephan Lichtsteiner,1500000.0
13,Lucas Torreira,40000000.0
14,Granit Xhaka,40000000.0
15,Mohamed Elneny,10000000.0
16,Aaron Ramsey,45000000.0
17,Mattéo Guendouzi,12000000.0
18,Ainsley Maitland-Niles,7000000.0
19,Mesut Özil,45000000.0
20,Henrikh Mkhitaryan,35000000.0
21,Alex Iwobi,18000000.0
22,Pierre-Emerick Aubameyang,75000000.0
23,Alexandre Lacazette,65000000.0
24,Danny Welbeck,15000000.0
