,Players,Values
0,Bernd Leno,8000000.0
1,Michael Rensing,2500000.0
2,David Yelldell,300000.0
3,Niklas Lomb,25000.0
4,Philipp Wollscheid,7500000.0
5,Ömer Toprak,5000000.0
6,Daniel Schwaab,3500000.0
7,Manuel Friedrich,1750000.0
8,Julian Riedel,100000.0
9,Michal Kadlec,7000000.0
10,Sebastian Boenisch,1250000.0
11,Daniel Carvajal,
12,Lars Bender,15000000.0
13,Stefan Reinartz,4500000.0
14,Simon Rolfes,4000000.0
15,Hajime Hosogai,3000000.0
16,Jonas Meffert,
17,Renato Augusto,10000000.0
18,Gonzalo Castro,9000000.0
19,Jens Hegeler,2000000.0
20,Dominik Kohr,200000.0
21,Erik Zenga,
22,Tobias Steffen,125000.0
23,Carlinhos,
24,Luca Dürholtz,
25,Kolja Pusch,
26,André Schürrle,14000000.0
27,Junior Fernandes,800000.0
28,Okan Aydin,
29,Sidney Sam,6500000.0
30,Karim Bellarabi,1000000.0
31,Stefan Kießling,8500000.0
32,Arkadiusz Milik,350000.0
