,Players,Values
0,Roman Bürki,4500000.0
1,Roman Weidenfeller,3000000.0
2,Hendrik Bonmann,150000.0
3,Mats Hummels,35000000.0
4,Sokratis,18000000.0
5,Neven Subotic,16000000.0
6,Sven Bender,16000000.0
7,Matthias Ginter,10000000.0
8,Jon Gorenc-Stankovic,450000.0
9,Patrick Fritsch,
10,Marcel Schmelzer,7000000.0
11,Ju-ho Park,2500000.0
12,Lukasz Piszczek,11000000.0
13,Erik Durm,6000000.0
14,Pascal Stenzel,100000.0
15,Felix Passlack,
16,Nuri Sahin,10000000.0
17,Julian Weigl,900000.0
18,Ilkay Gündogan,20000000.0
19,Gonzalo Castro,14000000.0
20,Kevin Kampl,10000000.0
21,Jonas Hofmann,4000000.0
22,Moritz Leitner,3500000.0
23,Marco Reus,50000000.0
24,Henrikh Mkhitaryan,21000000.0
25,Shinji Kagawa,10000000.0
26,Adnan Januzaj,10000000.0
27,Christian Pulisic,
28,Pierre-Emerick Aubameyang,19000000.0
29,Adrián Ramos,9500000.0
