,Players,Values
0,Logan Bailly,5000000.0
1,Christofer Heimeroth,500000.0
2,Marc-André ter Stegen,100000.0
3,Dante,7000000.0
4,Martin Stranzl,4300000.0
5,Roel Brouwers,3250000.0
6,Bamba Anderson,2000000.0
7,Havard Nordtveit,1000000.0
8,Tony Jantschke,600000.0
9,Jan-Ingwer Callsen-Bracker,350000.0
10,Michael Stuckmann,300000.0
11,Roman Neustädter,300000.0
12,Bernhard Janeczek,
13,Filip Daems,2000000.0
14,Jean-Sébastien Jaurès,750000.0
15,Christian Dorda,200000.0
16,Jens Wissing,150000.0
17,Tobias Levels,3000000.0
18,Paul Stalteri,600000.0
19,Sebastian Schachten,500000.0
20,Michael Fink,3000000.0
21,Thorben Marx,2500000.0
22,Marcel Meeuwis,1500000.0
23,Michael Bradley,5000000.0
24,Marco Reus,4500000.0
25,Juan Arango,5000000.0
26,Karim Matmour,2500000.0
27,Patrick Herrmann,500000.0
28,Fabian Bäcker,400000.0
29,Elias Kachunga,
30,Igor de Camargo,4500000.0
31,Raúl Bobadilla,4000000.0
32,Mohamadou Idrissou,2500000.0
33,Mike Hanke,1500000.0
