,Players,Values
0,Petr Cech,26000000.0
1,Ross Turnbull,1500000.0
2,Henrique Hilário,500000.0
3,Jamal Blackman,
4,John Terry,34000000.0
5,Branislav Ivanovic,21000000.0
6,David Luiz,20000000.0
7,Alex,16000000.0
8,Gary Cahill,9500000.0
9,Ashley Cole,27000000.0
10,Ryan Bertrand,1000000.0
11,Bosingwa,17000000.0
12,Paulo Ferreira,2000000.0
13,Michael Essien,36000000.0
14,John Mikel Obi,20000000.0
15,Josh McEachran,3500000.0
16,Oriol Romeu,2500000.0
17,Sam Hutchinson,
18,Nathaniel Chalobah,
19,Frank Lampard,25000000.0
20,Florent Malouda,20000000.0
21,Ramires,14000000.0
22,Raúl Meireles,13000000.0
23,Juan Mata,25000000.0
24,Salomon Kalou,14000000.0
25,Lucas Piazón,
26,Yossi Benayoun,11000000.0
27,Fernando Torres,46000000.0
28,Didier Drogba,25000000.0
29,Nicolas Anelka,17000000.0
30,Romelu Lukaku,15000000.0
31,Daniel Sturridge,5000000.0
