,Players,Values
0,Markus Pröll,3500000.0
1,Oka Nikolov,1000000.0
2,Jan Zimmermann,200000.0
3,Frank Lehmann,100000.0
4,Habib Bellaid,4000000.0
5,Aarón Galindo,2500000.0
6,Aleksandar Vasoski,2500000.0
7,Marco Russ,2500000.0
8,Chris,2500000.0
9,Nikola Petkovic,500000.0
10,Alexander Dercho,250000.0
11,Patrick Ochs,4000000.0
12,Markus Steinhöfer,1000000.0
13,Timothy Chandler,
14,Sebastian Jung,
15,Zlatan Bajramovic,3000000.0
16,Christoph Spycher,3000000.0
17,Michael Fink,2500000.0
18,Junichi Inamoto,2500000.0
19,Christoph Preuß,1000000.0
20,Jürgen Mössmer,50000.0
21,Kreso Ljubicic,150000.0
22,Mehdi Mahdavikia,1750000.0
23,Marcel Heller,700000.0
24,Benjamin Köhler,1750000.0
25,Caio,3500000.0
26,Faton Toski,900000.0
27,Ümit Korkmaz,2000000.0
28,Alexander Meier,3000000.0
29,Ioannis Amanatidis,6000000.0
30,Nikolaos Lyberopoulos,4000000.0
31,Martin Fenin,3500000.0
32,Juvhel Tsoumou,50000.0
33,Léonard Kweuke,
