,Players,Values
0,Mohamed Amsif,800000.0
1,Marwin Hitz,450000.0
2,Alexander Manninger,300000.0
3,Ioannis Gelios,100000.0
4,Ragnar Klavan,2000000.0
5,Jan-Ingwer Callsen-Bracker,1500000.0
6,Kevin Vogt,1250000.0
7,Jeong-ho Hong,1000000.0
8,Michael Parkhurst,800000.0
9,Matthias Ostrzolek,2000000.0
10,Marcel de Jong,1250000.0
11,Paul Verhaegh,2000000.0
12,Dominik Reinhardt,500000.0
13,Ronny Philp,400000.0
14,Raphael Framberger,
15,Daniel Baier,2000000.0
16,Andreas Ottl,800000.0
17,Maik Uhde,
18,Raphael Holzhauser,3000000.0
19,Jan Morávek,1750000.0
20,Dominik Kohr,500000.0
21,Arif Ekin,
22,Panagiotis Vlachodimos,800000.0
23,Erik Thommy,
24,Halil Altintop,3000000.0
25,Tobias Werner,1750000.0
26,Alexander Esswein,2750000.0
27,André Hahn,1250000.0
28,Bajram Nebihi,100000.0
29,Raúl Bobadilla,4000000.0
30,Arkadiusz Milik,2500000.0
31,Dong-won Ji,2500000.0
32,Sascha Mölders,2250000.0
33,Aristide Bancé,600000.0
34,Mathias Fetsch,400000.0
