,Players,Values
0,Manuel Neuer,35000000.0
1,Pepe Reina,10000000.0
2,Tom Starke,1000000.0
3,Leopold Zingerle,100000.0
4,Ivan Lucic,100000.0
5,Jérôme Boateng,28000000.0
6,Medhi Benatia,18000000.0
7,Dante,17000000.0
8,Holger Badstuber,10000000.0
9,David Alaba,32000000.0
10,Juan Bernat,4000000.0
11,Philipp Lahm,30000000.0
12,Rafinha,10000000.0
13,Mitchell Weiser,1000000.0
14,Javi Martínez,37000000.0
15,Xabi Alonso,12000000.0
16,Rico Strieder,75000.0
17,Bastian Schweinsteiger,40000000.0
18,Thiago,30000000.0
19,Sebastian Rode,9000000.0
20,Pierre-Emile Höjbjerg,1250000.0
21,Gianluca Gaudino,
22,Mario Götze,55000000.0
23,Julian Green,500000.0
24,Lucas Scholl,
25,Franck Ribéry,42000000.0
26,Sinan Kurt,100000.0
27,Arjen Robben,25000000.0
28,Xherdan Shaqiri,20000000.0
29,Lukas Görtler,50000.0
30,Thomas Müller,45000000.0
31,Robert Lewandowski,50000000.0
32,Claudio Pizarro,1000000.0
