,Players,Values
0,Ralf Fährmann,13000000.0
1,Alexander Nübel,500000.0
2,Michael Langer,200000.0
3,Matija Nastasic,22000000.0
4,Salif Sané,22000000.0
5,Benjamin Stambouli,9000000.0
6,Naldo,1500000.0
7,Abdul Rahman Baba,8000000.0
8,Hamza Mendyl,6000000.0
9,Sascha Riether,500000.0
10,Nabil Bentaleb,18000000.0
11,Sebastian Rudy,15000000.0
12,Omar Mascarell,8000000.0
13,Johannes Geis,4000000.0
14,Weston McKennie,12000000.0
15,Suat Serdar,11000000.0
16,Daniel Caligiuri,7500000.0
17,Alessandro Schöpf,5000000.0
18,Bastian Oczipka,7000000.0
19,Amine Harit,25000000.0
20,Yevhen Konoplyanka,10000000.0
21,Steven Skrzybski,3500000.0
22,Benjamin Goller,200000.0
23,Mark Uth,23000000.0
24,Breel Embolo,18000000.0
25,Guido Burgstaller,13000000.0
26,Franco Di Santo,2500000.0
27,Cedric Teuchert,1500000.0
