,Players,Values
0,Lars Unnerstall,750000.0
1,Michael Rensing,600000.0
2,Robin Heller,150000.0
3,Jonathan Tah,6500000.0
4,Dustin Bomheuer,800000.0
5,Bruno Soares,700000.0
6,Christopher Avevor,500000.0
7,Maurice Pluntke,50000.0
8,Lukas Schmitz,1000000.0
9,Heinrich Schmidtgal,600000.0
10,Julian Schauerte,900000.0
11,Tugrul Erat,400000.0
12,Christian Weber,350000.0
13,Robin Urban,125000.0
14,Adam Bodzek,1100000.0
15,Michael Liendl,1100000.0
16,Sérgio da Silva Pinto,1000000.0
17,Andreas Lambertz,700000.0
18,Christian Gartner,700000.0
19,Oliver Fink,500000.0
20,Kaan Akca,75000.0
21,Marvin Ajani,75000.0
22,Axel Bellinghausen,600000.0
23,Ben Halloran,800000.0
24,Ihlas Bebou,200000.0
25,Charlison Benschop,1700000.0
26,Erwin Hoffer,1000000.0
27,Mathis Bolly,750000.0
28,Joel Pohjanpalo,700000.0
29,Timm Golley,300000.0
