,Players,Values
0,Philipp Tschauner,400000.0
1,Timo Königsmann,300000.0
2,Samuel Sahin-Radlinger,200000.0
3,Salif Sané,5000000.0
4,Andre Hoffmann,2500000.0
5,Stefan Strandberg,2000000.0
6,Florian Hübner,800000.0
7,Felipe,500000.0
8,Waldemar Anton,100000.0
9,Timo Hübers,75000.0
10,Miiko Albornoz,1750000.0
11,Lars Ritzka,
12,Oliver Sorg,2750000.0
13,Fynn Arkenberg,75000.0
14,Manuel Schmiedebach,2000000.0
15,Iver Fossum,1300000.0
16,Marvin Bakalorz,1000000.0
17,Edgar Prib,2500000.0
18,Sebastian Maier,700000.0
19,Mike-Steven Bähre,100000.0
20,Kenan Karaman,1250000.0
21,Felix Klaus,2000000.0
22,Uffe Bech,1750000.0
23,Marius Wolf,1000000.0
24,Noah Sarenren Bazee,200000.0
25,Mevlüt Erdinc,3000000.0
26,Martin Harnik,2500000.0
27,Artur Sobiech,1500000.0
28,Charlison Benschop,1500000.0
29,Niclas Füllkrug,1300000.0
30,Babacar Gueye,300000.0
31,Valmir Sulejmani,250000.0
32,Elias Huth,
