,Players,Values
0,Jaroslav Drobny,5500000.0
1,Timo Ochs,1350000.0
2,Sascha Burchert,250000.0
3,Christopher Gäng,150000.0
4,Patrick Sobtzik,50000.0
5,Arne Friedrich,9000000.0
6,Steve von Bergen,3000000.0
7,Marc Stein,2500000.0
8,Maximilian Nicu,2500000.0
9,Roman Hubnik,1500000.0
10,Rasmus Bengtsson,1000000.0
11,Kaká,900000.0
12,Nemanja Pejcinovic,900000.0
13,Christoph Janker,800000.0
14,Shervin Radjabali-Fardi,250000.0
15,Lukasz Piszczek,2500000.0
16,Gojko Kacar,7000000.0
17,Pál Dárdai,2000000.0
18,Fabian Lustenberger,2000000.0
19,Lennart Hartmann,250000.0
20,Fanol Perdedaj,
21,Cícero,6000000.0
22,Florian Kringe,2500000.0
23,Levan Kobiashvili,3000000.0
24,César,1200000.0
25,Patrick Ebert,4000000.0
26,Sascha Bigalke,200000.0
27,Raffael,5500000.0
28,Theofanis Gekas,3300000.0
29,Artur Wichniarek,3000000.0
30,Valeri Domovchiyski,2000000.0
31,Amine Chermiti,2000000.0
32,Adrián Ramos,
