,Players,Values
0,Pepe Reina,13000000.0
1,Charles Itandje,2500000.0
2,Diego Cavalieri,1200000.0
3,Martin Hansen,125000.0
4,Péter Gulácsi,
5,Jamie Carragher,17000000.0
6,Daniel Agger,10250000.0
7,Martin Skrtel,10000000.0
8,Sami Hyypiä,3500000.0
9,Fábio Aurélio,6000000.0
10,Emiliano Insúa,400000.0
11,Álvaro Arbeloa,6000000.0
12,Philipp Degen,2500000.0
13,Stephen Darby,100000.0
14,Martin Kelly,
15,Javier Mascherano,22500000.0
16,Xabi Alonso,22000000.0
17,Lucas Leiva,6500000.0
18,Jay Spearing,100000.0
19,Damien Plessis,100000.0
20,Steven Gerrard,45000000.0
21,Andrea Dossena,6500000.0
22,Ryan Babel,14000000.0
23,Albert Riera,11000000.0
24,Dirk Kuyt,12500000.0
25,Jermaine Pennant,9500000.0
26,Yossi Benayoun,8250000.0
27,Nabil El Zhar,200000.0
28,Andriy Voronin,7500000.0
29,Fernando Torres,35000000.0
30,Robbie Keane,16500000.0
31,David N'Gog,1000000.0
32,Krisztián Németh,
