,Players,Values
0,Shay Given,8250000.0
1,Joe Hart,3500000.0
2,Kasper Schmeichel,1000000.0
3,Vedran Corluka,11000000.0
4,Micah Richards,11000000.0
5,Vincent Kompany,10000000.0
6,Richard Dunne,8000000.0
7,Tal Ben Haim,5000000.0
8,Nedum Onuoha,3000000.0
9,Gláuber,1800000.0
10,Wayne Bridge,6500000.0
11,Javier Garrido,4500000.0
12,Michael Ball,3000000.0
13,Ryan McGivern,
14,Pablo Zabaleta,6000000.0
15,Danny Mills,900000.0
16,Shay Logan,100000.0
17,Nigel de Jong,8500000.0
18,Gelson Fernandes,4500000.0
19,Michael Johnson,4000000.0
20,Dietmar Hamann,3000000.0
21,Kelvin Etuhu,750000.0
22,Adam Clayton,
23,Elano,15000000.0
24,Stephen Ireland,6000000.0
25,Martin Petrov,11000000.0
26,Craig Bellamy,9500000.0
27,Vladimír Weiss,
28,Shaun Wright-Phillips,15000000.0
29,Robinho,35000000.0
30,Jô,24000000.0
31,Benjani,9750000.0
32,Valeri Bojinov,8250000.0
33,Felipe Caicedo,5000000.0
34,Darius Vassell,3500000.0
35,Daniel Sturridge,500000.0
36,Ched Evans,
