,Players,Values
0,Edwin van der Sar,5000000.0
1,Tomasz Kuszczak,3500000.0
2,Ben Foster,3000000.0
3,Ben Amos,100000.0
4,Rio Ferdinand,35000000.0
5,Nemanja Vidic‎,35000000.0
6,Wes Brown,9000000.0
7,John O'Shea,5500000.0
8,Jonny Evans,5500000.0
9,Oliver Gill,
10,Patrice Evra,23000000.0
11,Antonio Valencia,11000000.0
12,Rafael,4200000.0
13,Gary Neville,3500000.0
14,Fábio,1200000.0
15,Ritchie De Laet,450000.0
16,Michael Carrick,26000000.0
17,Owen Hargreaves,13000000.0
18,Matthew Gill,
19,Anderson,22000000.0
20,Darren Fletcher,12000000.0
21,Paul Scholes,7500000.0
22,Darron Gibson,1000000.0
23,Rodrigo Possebon,800000.0
24,Magnus Wolff Eikrem,
25,Corry Evans,
26,Matty James,
27,Ryan Giggs,7500000.0
28,Ji-seong Park,12500000.0
29,Nani,15000000.0
30,Cameron Stewart,
31,Zoran Tosic,5500000.0
32,Gabriel Obertan,3000000.0
33,Joshua King,
34,Wayne Rooney,42000000.0
35,Dimitar Berbatov,33000000.0
36,Michael Owen,12200000.0
37,Danny Welbeck,1800000.0
38,Mame Diouf,1700000.0
39,Federico Macheda,1500000.0
