,Players,Values
0,Christopher Gäng,150000.0
1,Sven Neuhaus,
2,Benjamin Bellot,
3,Tim Sebastian,1250000.0
4,Fabian Franke,75000.0
5,Ingo Hertzsch,
6,Thomas Kläsener,
7,Matthias Buszkowiak,
8,Lars Müller,
9,Sebastian Albert,
10,Timo Rost,
11,Daniel Rosin,
12,Patrick Bick,
13,Tom Geißler,300000.0
14,Benjamin Baier,250000.0
15,Maximilian Watzka,275000.0
16,Shaban Ismaili,125000.0
17,Alexander Laas,250000.0
18,Thiago Rockenbach,600000.0
19,Paul Schinke,
20,Roman Jaworski,
21,Richard van den Bosch,
22,Steven Lewerenz,50000.0
23,Carsten Kammlott,500000.0
24,Daniel Frahn,225000.0
25,Stefan Kutschke,100000.0
26,Nico Frommer,
