,Players,Values
0,Alexander Schwolow,6000000.0
1,Mark Flekken,900000.0
2,Constantin Frommann,125000.0
3,Robin Koch,7000000.0
4,Dominique Heintz,6500000.0
5,Philipp Lienhart,2500000.0
6,Manuel Gulde,2500000.0
7,Keven Schlotterbeck,100000.0
8,Christian Günter,5000000.0
9,Chima Okoroji,125000.0
10,Pascal Stenzel,5000000.0
11,Lukas Kübler,1500000.0
12,Nicolas Höfler,4000000.0
13,Amir Abrashi,2000000.0
14,Patrick Kammerbauer,700000.0
15,Caleb Stanko,400000.0
16,Mike Frantz,1500000.0
17,Jérôme Gondorf,1500000.0
18,Janik Haberer,5000000.0
19,Roland Sallai,4500000.0
20,Marco Terrazzino,2500000.0
21,Florian Kath,500000.0
22,Yoric Ravet,3000000.0
23,Brandon Borrello,800000.0
24,Nils Petersen,12000000.0
25,Florian Niederlechner,4500000.0
26,Luca Waldschmidt,4000000.0
27,Lucas Höler,2000000.0
28,Tim Kleindienst,2000000.0
