,Players,Values
0,Tim Wiese,10000000.0
1,Sebastian Mielitz,800000.0
2,Christian Vander,300000.0
3,Per Mertesacker,12500000.0
4,Naldo,10000000.0
5,Sokratis,5000000.0
6,Sebastian Prödl,3500000.0
7,Andreas Wolf,2500000.0
8,Mikaël Silvestre,2000000.0
9,François Affolter,1500000.0
10,Leon Balogun,200000.0
11,Clemens Schoppenhauer,125000.0
12,Sebastian Boenisch,2500000.0
13,Lukas Schmitz,2500000.0
14,Florian Hartherz,
15,Aleksandar Ignjovski,2250000.0
16,Philipp Bargfrede,4000000.0
17,Tom Trybull,500000.0
18,Wesley,8000000.0
19,Clemens Fritz,4000000.0
20,Tim Borowski,2500000.0
21,Zlatko Junuzovic,2500000.0
22,Felix Kroos,500000.0
23,Aleksandar Stevanovic,
24,Mehmet Ekici,6500000.0
25,Aaron Hunt,4500000.0
26,Florian Trinks,1000000.0
27,Predrag Stevanovic,200000.0
28,Özkan Yildirim,75000.0
29,Marko Marin,14000000.0
30,Onur Ayik,300000.0
31,Claudio Pizarro,7000000.0
32,Marko Arnautovic,6500000.0
33,Markus Rosenberg,3000000.0
34,Denni Avdic,2500000.0
35,Sandro Wagner,1500000.0
36,Lennart Thy,600000.0
37,Niclas Füllkrug,
