,Players,Values
0,Hugo Lloris,24000000.0
1,Michel Vorm,5000000.0
2,Pau López,1500000.0
3,Luke McGee,
4,Alfie Whiteman,
5,Toby Alderweireld,27000000.0
6,Jan Vertonghen,23000000.0
7,Federico Fazio,8000000.0
8,Kevin Wimmer,7000000.0
9,Cameron Carter-Vickers,
10,Danny Rose,14000000.0
11,Ben Davies,8000000.0
12,Kyle Walker,15000000.0
13,Kieran Trippier,6000000.0
14,Kyle Walker-Peters,
15,Eric Dier,18000000.0
16,Victor Wanyama,15000000.0
17,Nabil Bentaleb,10000000.0
18,Filip Lesniak,
19,Luke Amos,
20,Anton Walkes,
21,Mousa Dembélé,18000000.0
22,Moussa Sissoko,13000000.0
23,Ryan Mason,7500000.0
24,Tom Carroll,5000000.0
25,Harry Winks,
26,Christian Eriksen,29000000.0
27,Dele Alli,20000000.0
28,Josh Onomah,1500000.0
29,Heung-min Son,25000000.0
30,Georges-Kevin N'Koudou,5000000.0
31,Érik Lamela,24000000.0
32,Marcus Edwards,
33,Samuel Shashoua,
34,Harry Kane,40000000.0
35,Clinton N'Jie,10000000.0
36,Vincent Janssen,6000000.0
37,Shayon Harrison,
