,Players,Values
0,Oliver Baumann,10000000.0
1,Gregor Kobel,1000000.0
2,Alexander Stolz,100000.0
3,Kevin Vogt,17000000.0
4,Kevin Akpoguma,12000000.0
5,Kasim Adams,8500000.0
6,Benjamin Hübner,8000000.0
7,Havard Nordtveit,4000000.0
8,Justin Hoogma,3000000.0
9,Stefan Posch,2500000.0
10,Ermin Bicakcic,2000000.0
11,Nico Schulz,15000000.0
12,Joshua Brenet,5000000.0
13,Pavel Kaderabek,11000000.0
14,Dennis Geiger,10000000.0
15,Florian Grillitsch,20000000.0
16,Lukas Rupp,4500000.0
17,Steven Zuber,10000000.0
18,Nadiem Amiri,17000000.0
19,Kerem Demirbay,12000000.0
20,Leonardo Bittencourt,7000000.0
21,Vincenzo Grifo,5500000.0
22,Felipe Pires,2250000.0
23,Robin Hack,500000.0
24,Reiss Nelson,7500000.0
25,Ishak Belfodil,5500000.0
26,Andrej Kramaric,35000000.0
27,Joelinton,7000000.0
28,Ádám Szalai,3000000.0
29,David Otto,600000.0
