,Players,Values
0,Przemyslaw Tyton,2500000.0
1,Mitchell Langerak,1500000.0
2,Odysseas Vlachodimos,450000.0
3,Benjamin Uphoff,100000.0
4,Daniel Schwaab,3000000.0
5,Toni Sunjic,2800000.0
6,Georg Niedermeier,2000000.0
7,Timo Baumgartl,1200000.0
8,Federico Barba,700000.0
9,Stephen Sama,300000.0
10,Emiliano Insúa,4000000.0
11,Adam Hlousek,1500000.0
12,Philip Heise,600000.0
13,Kevin Großkreutz,7500000.0
14,Florian Klein,1500000.0
15,Carlos Gruezo,3500000.0
16,Geoffroy Serey Dié,2000000.0
17,Matthias Zimmermann,200000.0
18,Mart Ristl,
19,Christian Gentner,4500000.0
20,Lukas Rupp,2000000.0
21,Marvin Wanitzek,300000.0
22,Alexandru Maxim,6000000.0
23,Daniel Didavi,1500000.0
24,Kevin Stöger,1000000.0
25,Arianit Ferati,
26,Filip Kostic,5500000.0
27,Robbie Kruse,2500000.0
28,Timo Werner,12000000.0
29,Martin Harnik,5000000.0
30,Artem Kravets,4000000.0
31,Daniel Ginczek,2500000.0
32,Borys Tashchy,300000.0
33,Jan Kliment,150000.0
