,Players,Values
0,Koen Casteels,2500000.0
1,Max Grün,250000.0
2,Phillip Menzel,100000.0
3,John Anthony Brooks,14000000.0
4,Jeffrey Bruma,10000000.0
5,Robin Knoche,4500000.0
6,Marcel Tisserand,3000000.0
7,Felix Uduokhai,800000.0
8,Paul Jaeckel,
9,Dominik Franke,150000.0
10,Gian-Luca Itter,
11,William,2750000.0
12,Sebastian Jung,2000000.0
13,Paul Verhaegh,1000000.0
14,Ignacio Camacho,10000000.0
15,Riechedly Bazoer,10000000.0
16,Josuha Guilavogui,8000000.0
17,Elvis Rexhbecaj,50000.0
18,Yannick Gerhardt,10000000.0
19,Maximilian Arnold,10000000.0
20,Renato Steffen,3000000.0
21,Jakub Blaszczykowski,3000000.0
22,Yunus Malli,10000000.0
23,Daniel Didavi,4000000.0
24,Justin Möbius,200000.0
25,Paul-Georges Ntep,8000000.0
26,Josip Brekalo,3000000.0
27,Admir Mehmedi,3500000.0
28,Kaylen Hinds,
29,Divock Origi,12000000.0
30,Mario Gómez,7500000.0
31,Landry Dimata,6500000.0
32,Victor Osimhen,1000000.0
